name,platform,handle,profile_url,followers,tier,rate_note,niche,notes,source
Dr Samuel GP,Unconfirmed,drsamuelgp,,,,"S$2,000-3,500 (2 posts + endorsement + Spark rights)",Clinical/dermatology authority,"Code DRSAMUEL15; score 6.4; AUDIT FLAG: 91% US audience per deck audit - Spark Ads geo-target SG only, do not rely on organic reach",aka_os_deck_2026
Christabel Chua,Instagram,bellywellyjelly,,260000,mid,"S$1,500 flat + 10% commission + 90-day Spark whitelist",Skincare science,"Code BELLY15; SG audience >=85% per deck, ER 3.1% per deck; Hero KOL Month 1, rolls as Reserve 2 for Month 2",aka_os_deck_2026
Joanna Ee,Instagram,joannaskincaresg,,180000,mid,"S$1,300 flat + 12% commission + Spark whitelist",Sensitive skin x K-beauty,"Code JOANNA15; SG audience >=85% per deck, ER 3.8% per deck; Hero KOL Month 2, can host Month 2 livestream",aka_os_deck_2026
Dr Teo Wan Lin,Instagram,drteowanlin,,120000,mid,"S$1,500 flat + 10% commission",Clinical/dermatologist authority,"Code DRTEO15; 45K YouTube also per deck; SG audience >=90% per deck; Hero KOL Month 3; HANDLE NEEDS VERIFICATION per source deck",aka_os_deck_2026
graceglazee,Unconfirmed,graceglazee,,,,"S$700-1,200",30-day diary D0/D14/D30,"Code GRACE10; score 5.1; AUDIT FLAG: ER 1.11% below floor per deck - verify audience in Modash before contracting, weight deal to 20% commission",aka_os_deck_2026
lifewithmils,Unconfirmed,lifewithmils,,,,"S$600-1,000",Routine integration narrative,"Code MILS10; score 6.2; SG audience 70-85% (est) per deck; activate Month 1",aka_os_deck_2026
evelynnexie,Unconfirmed,evelynnexie,,15000,micro,"S$120-250 (per Shortlist page; Creators page implies diary-format reserve deal)",Micro - first-impression unboxing / diary format,"Code EVELYNN10; score 6.0; ER 8.4% per Creators page; SG audience 85%+ (est) per deck; also Reserve 1 for Month 2 - CONFLICTING FIGURES between deck sections, reconcile before contracting",aka_os_deck_2026
annnicoleng__,Instagram,annnicoleng__,,145000,mid,,Fragrance x beauty,"ER 4.2% per deck; Reserve 1 for Month 1",aka_os_deck_2026
glennice,Instagram,glennice,,20000,micro,,General/micro,"ER 6.1% per deck; Reserve 2 for Month 1; also proposed Live #1 beta host",aka_os_deck_2026
Nano creator pool x9,Mixed,TBD,,,nano,"Product + S$120-350 each",Authentic reviews - feeds 15-review gate,"Codes NANO01-09; score 7+; sourced via #sgskintok / #kbeautysg / Modash SG; SG-based accounts only per bio+hashtag signal; PLACEHOLDER GROUP - individual handles not yet identified",aka_os_deck_2026
gaga_beauty,TikTok,gaga_beauty,,333000,mid,S$600-900,LIVE co-host,"Code GAGA10; score 5.0; ER 1.19% per deck; LIVE-only role - Co-hosted LIVE 10 Jul 7pm SGT",aka_os_deck_2026
vedawinfam,Unconfirmed,vedawinfam,,,,"S$2,000 series (3-part incl. 1 LIVE - not S$8K/stream)",LIVE selling - 3-part series,"Code VEDA10; score 5.3; AUDIT FLAG: SG audience est 35-55% per deck - request media kit before contract, cap package at <=S$2,000",aka_os_deck_2026
d.nuvo brand LIVE,Self-owned,dnuvo.sg,,,,"S$0 + S$200 boost",Owned-channel self-hosted LIVE,"NOT A KOL - brand's own account; 3x/week from June, builds owned LIVE audience",aka_os_deck_2026
jannatul_mitsuisen,Unconfirmed,jannatul_mitsuisen,,,,"Max S$2,500",LIVE selling - August only after 50+ reviews,"score 3.8; AUDIT FLAG: 91% US audience per live audit, ER 1.23% - source's OWN recommendation is DECLINE at any fee",aka_os_deck_2026
